"Дата акції від дати завантаження до дати закінчення, план | Мережа | Продукція | Еталонний місяць","06.07-16.07.25 | Варус | торт Пінчер з вишнею (0,8кг) ОПТ | Травень","06.07-16.07.25 | Варус | торт Наполеон (1,0 кг) ОПТ  | Травень","06.07-16.07.25 | Варус | торт Червоний оксамит (0,5 кг)  | Травень",Мануилова А..3 | Мануилова А..3 | Мануилова А..3 | Мануилова А..3,"06.07-16.07.25 | Варус | торт Фісташка з лохиною (0,5 кг)  | Травень"
,,,,Григорян С..34,
Резульати,,,,Григорян С..34,
"Продажі в акційний період, шт план",5 977,5 374,542,Григорян С..34,806
"Продажі в акційний період, грн план",806 935,570 865,90 537,Григорян С..34,8 840
"Дохід еталоний період, грн план",144 674,116 096,21 934,Григорян С..34,3 024
Дохід акційний період без урахування додаткових витрат план,375 225,304 556,34 857,Григорян С..34,4 271
,,,,Григорян С..34,
Додаткові витрати на грн ТО план,81 869,55 265,6 580,Григорян С..34,442
Додаткові витрати ЗП кондитера план,11 316,9 861,665,Григорян С..34,97
,93 185,65 126,7 246,Григорян С..34,539
"PL, грн план",137 366,123 334,5 677,Григорян С..34,708
"PL, % план","17,02%","21,60%","6,27%",Григорян С..34,"8,01%"
"Дата акції від дати завантаження до дати закінчення, план",06.07-16.07.25,06.07-16.07.25,06.07-16.07.25,Григорян С..35,18.07-07.08.25
Мережа,Варус,Варус,Варус,Григорян С..35,Експансія
Продукція,"торт Пінчер з вишнею (0,8кг) ОПТ","торт Наполеон (1,0 кг) ОПТ ","торт Червоний оксамит (0,5 кг) ",Григорян С..35,"торт Тирамису (0,7кг) ОПТ"
Еталонний місяць,Травень,Травень,Травень,Григорян С..35,Квітень
Акційний місяць,Липень,Липень,Липень,Григорян С..35,Серпень
Коефіцієнт сезонності,"0,9","0,9","0,9",Григорян С..35,"1,2"
"Продажі в еталоний період, грн",290 160,224 927,51 854,Григорян С..35,6 075
"Продажі в еталоний період, шт",1612,1588,233,Григорян С..35,26
"Маржа еталоний період, %","68,90%","70,00%","68,50%",Григорян С..35,"59,57%"
"Відсоток акційної знижки, %",25%,25%,25%,Григорян С..35,10%
"Бонус, %","11,50%","11,65%","11,50%",Григорян С..35,14%
"Повернення без акції, %",2%,1%,10%,Григорян С..35,60%
"Повернення в акцію, %","0,00%","0,00%","2,00%",Григорян С..35,"7,00%"
"Маржа акційний період, %","58,0%","65,0%","52,0%",Григорян С..35,50%
"Витрати на активацію, грн",0,0,0,Григорян С..35,0
Коефіцієнт перемінних витрат на 1 грн додатково проданої продукції,"0,15","0,15","0,15",Григорян С..35,"0,15"
"Оплата кондитеру за одиницю продукції додаткових акційних продаж, грн","2,5","2,5",2,Григорян С..35,"3,75"
Зростання ТО акційного ТО у співвідношенні до еталонного без коєф сезоності,"3,09","2,82","1,94",Григорян С..35,"1,50"
,,,,Григорян С..35,
Резульати,,,,Григорян С..35,
"Продажі в акційний період, шт план",5 977,5 374,542,Григорян С..35,52
"Продажі в акційний період, грн план",806 935,570 865,90 537,Григорян С..35,10 935
"Дохід еталоний період, грн план",144 674,116 096,21 934,Григорян С..35,-1 052
Дохід акційний період без урахування додаткових витрат план,375 225,304 556,34 857,Григорян С..35,3 124
,,,,Григорян С..35,
Додаткові витрати на грн ТО план,81 869,55 265,6 580,Григорян С..35,547
Додаткові витрати ЗП кондитера план,11 316,9 861,665,Григорян С..35,78
,93 185,65 126,7 246,Григорян С..35,625
"PL, грн план",137 366,123 334,5 677,Григорян С..35,3 551
"PL, % план","17,02%","21,60%","6,27%",Григорян С..35,"32,48%"
"Дата акції від дати завантаження до дати закінчення, план",06.07-16.07.25,06.07-16.07.25,06.07-16.07.25,Григорян С..36,18.07-07.08.25
Мережа,Варус,Варус,Варус,Григорян С..36,Експансія
Продукція,"торт Пінчер з вишнею (0,8кг) ОПТ","торт Наполеон (1,0 кг) ОПТ ","торт Червоний оксамит (0,5 кг) ",Григорян С..36,"Торт  Чізкейк з солоною карамеллю 0,55"
Еталонний місяць,Травень,Травень,Травень,Григорян С..36,Квітень
Акційний місяць,Липень,Липень,Липень,Григорян С..36,Серпень
Коефіцієнт сезонності,"0,9","0,9","0,9",Григорян С..36,"1,2"
"Продажі в еталоний період, грн",290 160,224 927,51 854,Григорян С..36,4 725
"Продажі в еталоний період, шт",1612,1588,233,Григорян С..36,21
"Маржа еталоний період, %","68,90%","70,00%","68,50%",Григорян С..36,"73,91%"
"Відсоток акційної знижки, %",25%,25%,25%,Григорян С..36,10%
"Бонус, %","11,50%","11,65%","11,50%",Григорян С..36,14%
"Повернення без акції, %",2%,1%,10%,Григорян С..36,29%
"Повернення в акцію, %","0,00%","0,00%","2,00%",Григорян С..36,"7,00%"
"Маржа акційний період, %","58,0%","65,0%","52,0%",Григорян С..36,64%
"Витрати на активацію, грн",0,0,0,Григорян С..36,0
Коефіцієнт перемінних витрат на 1 грн додатково проданої продукції,"0,15","0,15","0,15",Григорян С..36,"0,15"
"Оплата кондитеру за одиницю продукції додаткових акційних продаж, грн","2,5","2,5",2,Григорян С..36,"3,75"
Зростання ТО акційного ТО у співвідношенні до еталонного без коєф сезоності,"3,09","2,82","1,94",Григорян С..36,"1,50"
,,,,Григорян С..36,
Резульати,,,,Григорян С..36,
"Продажі в акційний період, шт план",5 977,5 374,542,Григорян С..36,42
"Продажі в акційний період, грн план",806 935,570 865,90 537,Григорян С..36,8 505
"Дохід еталоний період, грн план",144 674,116 096,21 934,Григорян С..36,1 753
Дохід акційний період без урахування додаткових витрат план,375 225,304 556,34 857,Григорян С..36,3 650
,,,,Григорян С..36,
Додаткові витрати на грн ТО план,81 869,55 265,6 580,Григорян С..36,425
Додаткові витрати ЗП кондитера план,11 316,9 861,665,Григорян С..36,63
,93 185,65 126,7 246,Григорян С..36,488
"PL, грн план",137 366,123 334,5 677,Григорян С..36,1 409
"PL, % план","17,02%","21,60%","6,27%",Григорян С..36,"16,56%"
"Дата акції від дати завантаження до дати закінчення, план",06.07-16.07.25,06.07-16.07.25,06.07-16.07.25,Григорян С..37,01.08-21.08.25
Мережа,Варус,Варус,Варус,Григорян С..37,Експансія
Продукція,"торт Пінчер з вишнею (0,8кг) ОПТ","торт Наполеон (1,0 кг) ОПТ ","торт Червоний оксамит (0,5 кг) ",Григорян С..37,"торт Пінчер з вишнею (0,350 кг) газ уп"
Еталонний місяць,Травень,Травень,Травень,Григорян С..37,Січень
Акційний місяць,Липень,Липень,Липень,Григорян С..37,Серпень
Коефіцієнт сезонності,"0,9","0,9","0,9",Григорян С..37,"0,85"
"Продажі в еталоний період, грн",290 160,224 927,51 854,Григорян С..37,6 237
"Продажі в еталоний період, шт",1612,1588,233,Григорян С..37,54
"Маржа еталоний період, %","68,90%","70,00%","68,50%",Григорян С..37,"71,40%"
"Відсоток акційної знижки, %",25%,25%,25%,Григорян С..37,10%
"Бонус, %","11,50%","11,65%","11,50%",Григорян С..37,14%
"Повернення без акції, %",2%,1%,10%,Григорян С..37,4%
"Повернення в акцію, %","0,00%","0,00%","2,00%",Григорян С..37,"2,00%"
"Маржа акційний період, %","58,0%","65,0%","52,0%",Григорян С..37,61%
"Витрати на активацію, грн",0,0,0,Григорян С..37,0
Коефіцієнт перемінних витрат на 1 грн додатково проданої продукції,"0,15","0,15","0,15",Григорян С..37,"0,15"
"Оплата кондитеру за одиницю продукції додаткових акційних продаж, грн","2,5","2,5",2,Григорян С..37,"1,25"
Зростання ТО акційного ТО у співвідношенні до еталонного без коєф сезоності,"3,09","2,82","1,94",Григорян С..37,"2,00"
,,,,Григорян С..37,
Резульати,,,,Григорян С..37,
"Продажі в акційний період, шт план",5 977,5 374,542,Григорян С..37,102
"Продажі в акційний період, грн план",806 935,570 865,90 537,Григорян С..37,10 603
"Дохід еталоний період, грн план",144 674,116 096,21 934,Григорян С..37,2 831
Дохід акційний період без урахування додаткових витрат план,375 225,304 556,34 857,Григорян С..37,4 814
,,,,Григорян С..37,
Додаткові витрати на грн ТО план,81 869,55 265,6 580,Григорян С..37,795
Додаткові витрати ЗП кондитера план,11 316,9 861,665,Григорян С..37,70
,93 185,65 126,7 246,Григорян С..37,865
"PL, грн план",137 366,123 334,5 677,Григорян С..37,1 118
"PL, % план","17,02%","21,60%","6,27%",Григорян С..37,"10,54%"
"Дата акції від дати завантаження до дати закінчення, план",06.07-16.07.25,06.07-16.07.25,06.07-16.07.25,Григорян С..38,01.08-21.08.25
Мережа,Варус,Варус,Варус,Григорян С..38,Експансія
Продукція,"торт Пінчер з вишнею (0,8кг) ОПТ","торт Наполеон (1,0 кг) ОПТ ","торт Червоний оксамит (0,5 кг) ",Григорян С..38,"Торт  Солона карамель (1,0 кг) ОПТ"
Еталонний місяць,Травень,Травень,Травень,Григорян С..38,Квітень
Акційний місяць,Липень,Липень,Липень,Григорян С..38,Серпень
Коефіцієнт сезонності,"0,9","0,9","0,9",Григорян С..38,"1,2"
"Продажі в еталоний період, грн",290 160,224 927,51 854,Григорян С..38,16 801
"Продажі в еталоний період, шт",1612,1588,233,Григорян С..38,60
"Маржа еталоний період, %","68,90%","70,00%","68,50%",Григорян С..38,"71,53%"
"Відсоток акційної знижки, %",25%,25%,25%,Григорян С..38,10%
"Бонус, %","11,50%","11,65%","11,50%",Григорян С..38,14%
"Повернення без акції, %",2%,1%,10%,Григорян С..38,15%
"Повернення в акцію, %","0,00%","0,00%","2,00%",Григорян С..38,"5,00%"
"Маржа акційний період, %","58,0%","65,0%","52,0%",Григорян С..38,62%
"Витрати на активацію, грн",0,0,0,Григорян С..38,0
Коефіцієнт перемінних витрат на 1 грн додатково проданої продукції,"0,15","0,15","0,15",Григорян С..38,"0,15"
"Оплата кондитеру за одиницю продукції додаткових акційних продаж, грн","2,5","2,5",2,Григорян С..38,5
Зростання ТО акційного ТО у співвідношенні до еталонного без коєф сезоності,"3,09","2,82","1,94",Григорян С..38,"1,50"
,,,,Григорян С..38,
Резульати,,,,Григорян С..38,
"Продажі в акційний період, шт план",5 977,5 374,542,Григорян С..38,120
"Продажі в акційний період, грн план",806 935,570 865,90 537,Григорян С..38,30 242
"Дохід еталоний період, грн план",144 674,116 096,21 934,Григорян С..38,8 604
Дохід акційний період без урахування додаткових витрат план,375 225,304 556,34 857,Григорян С..38,12 862
,,,,Григорян С..38,
Додаткові витрати на грн ТО план,81 869,55 265,6 580,Григорян С..38,1 512
Додаткові витрати ЗП кондитера план,11 316,9 861,665,Григорян С..38,240
,93 185,65 126,7 246,Григорян С..38,1 752
"PL, грн план",137 366,123 334,5 677,Григорян С..38,2 505
"PL, % план","17,02%","21,60%","6,27%",Григорян С..38,"8,28%"
"Дата акції від дати завантаження до дати закінчення, план",06.07-16.07.25,06.07-16.07.25,06.07-16.07.25,Григорян С..39,15.08 -04.09.25
Мережа,Варус,Варус,Варус,Григорян С..39,Експансія
Продукція,"торт Пінчер з вишнею (0,8кг) ОПТ","торт Наполеон (1,0 кг) ОПТ ","торт Червоний оксамит (0,5 кг) ",Григорян С..39,"торт Пінчер з вишнею (0,8кг) ОПТ"
Еталонний місяць,Травень,Травень,Травень,Григорян С..39,Квітень
Акційний місяць,Липень,Липень,Липень,Григорян С..39,Серпень
Коефіцієнт сезонності,"0,9","0,9","0,9",Григорян С..39,"1,2"
"Продажі в еталоний період, грн",290 160,224 927,51 854,Григорян С..39,22 500
"Продажі в еталоний період, шт",1612,1588,233,Григорян С..39,125
"Маржа еталоний період, %","68,90%","70,00%","68,50%",Григорян С..39,"67,16%"
"Відсоток акційної знижки, %",25%,25%,25%,Григорян С..39,10%
"Бонус, %","11,50%","11,65%","11,50%",Григорян С..39,14%
"Повернення без акції, %",2%,1%,10%,Григорян С..39,3%
"Повернення в акцію, %","0,00%","0,00%","2,00%",Григорян С..39,"2,00%"
"Маржа акційний період, %","58,0%","65,0%","52,0%",Григорян С..39,57%
"Витрати на активацію, грн",0,0,0,Григорян С..39,0
Коефіцієнт перемінних витрат на 1 грн додатково проданої продукції,"0,15","0,15","0,15",Григорян С..39,"0,15"
"Оплата кондитеру за одиницю продукції додаткових акційних продаж, грн","2,5","2,5",2,Григорян С..39,"2,5"
Зростання ТО акційного ТО у співвідношенні до еталонного без коєф сезоності,"3,09","2,82","1,94",Григорян С..39,"2,00"
,,,,Григорян С..39,
Резульати,,,,Григорян С..39,
"Продажі в акційний період, шт план",5 977,5 374,542,Григорян С..39,333
"Продажі в акційний період, грн план",806 935,570 865,90 537,Григорян С..39,54 000
"Дохід еталоний період, грн план",144 674,116 096,21 934,Григорян С..39,13 544
Дохід акційний період без урахування додаткових витрат план,375 225,304 556,34 857,Григорян С..39,22 228
,,,,Григорян С..39,
Додаткові витрати на грн ТО план,81 869,55 265,6 580,Григорян С..39,4 050
Додаткові витрати ЗП кондитера план,11 316,9 861,665,Григорян С..39,458
,93 185,65 126,7 246,Григорян С..39,4 508
"PL, грн план",137 366,123 334,5 677,Григорян С..39,4 176
"PL, % план","17,02%","21,60%","6,27%",Григорян С..39,"7,73%"
"Дата акції від дати завантаження до дати закінчення, план",06.07-16.07.25,06.07-16.07.25,06.07-16.07.25,Григорян С..40,15.08 -04.09.25
Мережа,Варус,Варус,Варус,Григорян С..40,Експансія
Продукція,"торт Пінчер з вишнею (0,8кг) ОПТ","торт Наполеон (1,0 кг) ОПТ ","торт Червоний оксамит (0,5 кг) ",Григорян С..40,"Торт  Чізкейк з солоною карамеллю 0,55"
Еталонний місяць,Травень,Травень,Травень,Григорян С..40,Квітень
Акційний місяць,Липень,Липень,Липень,Григорян С..40,Серпень
Коефіцієнт сезонності,"0,9","0,9","0,9",Григорян С..40,"1,2"
"Продажі в еталоний період, грн",290 160,224 927,51 854,Григорян С..40,4 725
"Продажі в еталоний період, шт",1612,1588,233,Григорян С..40,21
"Маржа еталоний період, %","68,90%","70,00%","68,50%",Григорян С..40,"73,91%"
"Відсоток акційної знижки, %",25%,25%,25%,Григорян С..40,10%
"Бонус, %","11,50%","11,65%","11,50%",Григорян С..40,14%
"Повернення без акції, %",2%,1%,10%,Григорян С..40,29%
"Повернення в акцію, %","0,00%","0,00%","2,00%",Григорян С..40,"7,00%"
"Маржа акційний період, %","58,0%","65,0%","52,0%",Григорян С..40,64%
"Витрати на активацію, грн",0,0,0,Григорян С..40,0
Коефіцієнт перемінних витрат на 1 грн додатково проданої продукції,"0,15","0,15","0,15",Григорян С..40,"0,15"
"Оплата кондитеру за одиницю продукції додаткових акційних продаж, грн","2,5","2,5",2,Григорян С..40,"3,75"
Зростання ТО акційного ТО у співвідношенні до еталонного без коєф сезоності,"3,09","2,82","1,94",Григорян С..40,"1,50"
,,,,Григорян С..40,
Резульати,,,,Григорян С..40,
"Продажі в акційний період, шт план",5 977,5 374,542,Григорян С..40,42
"Продажі в акційний період, грн план",806 935,570 865,90 537,Григорян С..40,8 505
"Дохід еталоний період, грн план",144 674,116 096,21 934,Григорян С..40,1 753
Дохід акційний період без урахування додаткових витрат план,375 225,304 556,34 857,Григорян С..40,3 650
,,,,Григорян С..40,
Додаткові витрати на грн ТО план,81 869,55 265,6 580,Григорян С..40,425
Додаткові витрати ЗП кондитера план,11 316,9 861,665,Григорян С..40,63
,93 185,65 126,7 246,Григорян С..40,488
"PL, грн план",137 366,123 334,5 677,Григорян С..40,1 409
"PL, % план","17,02%","21,60%","6,27%",Григорян С..40,"16,56%"
"Дата акції від дати завантаження до дати закінчення, план",06.07-16.07.25,06.07-16.07.25,06.07-16.07.25,Григорян С..41,15.08 -04.09.25
Мережа,Варус,Варус,Варус,Григорян С..41,Експансія
Продукція,"торт Пінчер з вишнею (0,8кг) ОПТ","торт Наполеон (1,0 кг) ОПТ ","торт Червоний оксамит (0,5 кг) ",Григорян С..41,"торт Червоний оксамит (0,5 кг)"
Еталонний місяць,Травень,Травень,Травень,Григорян С..41,Квітень
Акційний місяць,Липень,Липень,Липень,Григорян С..41,Серпень
Коефіцієнт сезонності,"0,9","0,9","0,9",Григорян С..41,"1,2"
"Продажі в еталоний період, грн",290 160,224 927,51 854,Григорян С..41,6 975
"Продажі в еталоний період, шт",1612,1588,233,Григорян С..41,31
"Маржа еталоний період, %","68,90%","70,00%","68,50%",Григорян С..41,"70,87%"
"Відсоток акційної знижки, %",25%,25%,25%,Григорян С..41,10%
"Бонус, %","11,50%","11,65%","11,50%",Григорян С..41,14%
"Повернення без акції, %",2%,1%,10%,Григорян С..41,16%
"Повернення в акцію, %","0,00%","0,00%","2,00%",Григорян С..41,"5,00%"
"Маржа акційний період, %","58,0%","65,0%","52,0%",Григорян С..41,61%
"Витрати на активацію, грн",0,0,0,Григорян С..41,0
Коефіцієнт перемінних витрат на 1 грн додатково проданої продукції,"0,15","0,15","0,15",Григорян С..41,"0,15"
"Оплата кондитеру за одиницю продукції додаткових акційних продаж, грн","2,5","2,5",2,Григорян С..41,2
Зростання ТО акційного ТО у співвідношенні до еталонного без коєф сезоності,"3,09","2,82","1,94",Григорян С..41,"1,50"
,,,,Григорян С..41,
Резульати,,,,Григорян С..41,
"Продажі в акційний період, шт план",5 977,5 374,542,Григорян С..41,62
"Продажі в акційний період, грн план",806 935,570 865,90 537,Григорян С..41,12 555
"Дохід еталоний період, грн план",144 674,116 096,21 934,Григорян С..41,3 420
Дохід акційний період без урахування додаткових витрат план,375 225,304 556,34 857,Григорян С..41,5 256
,,,,Григорян С..41,
Додаткові витрати на грн ТО план,81 869,55 265,6 580,Григорян С..41,628
Додаткові витрати ЗП кондитера план,11 316,9 861,665,Григорян С..41,50
,93 185,65 126,7 246,Григорян С..41,677
"PL, грн план",137 366,123 334,5 677,Григорян С..41,1 158
"PL, % план","17,02%","21,60%","6,27%",Григорян С..41,"9,23%"
"Дата акції від дати завантаження до дати закінчення, план",06.07-16.07.25,06.07-16.07.25,06.07-16.07.25,Григорян С..42,29.08-18.09.25
Мережа,Варус,Варус,Варус,Григорян С..42,Експансія
Продукція,"торт Пінчер з вишнею (0,8кг) ОПТ","торт Наполеон (1,0 кг) ОПТ ","торт Червоний оксамит (0,5 кг) ",Григорян С..42,"Мини профитроли в глазуре (0,2кг)"
Еталонний місяць,Травень,Травень,Травень,Григорян С..42,Квітень
Акційний місяць,Липень,Липень,Липень,Григорян С..42,Вересень
Коефіцієнт сезонності,"0,9","0,9","0,9",Григорян С..42,"1,25"
"Продажі в еталоний період, грн",290 160,224 927,51 854,Григорян С..42,5 639
"Продажі в еталоний період, шт",1612,1588,233,Григорян С..42,131
"Маржа еталоний період, %","68,90%","70,00%","68,50%",Григорян С..42,"65,00%"
"Відсоток акційної знижки, %",25%,25%,25%,Григорян С..42,10%
"Бонус, %","11,50%","11,65%","11,50%",Григорян С..42,14%
"Повернення без акції, %",2%,1%,10%,Григорян С..42,9%
"Повернення в акцію, %","0,00%","0,00%","2,00%",Григорян С..42,"3,00%"
"Маржа акційний період, %","58,0%","65,0%","52,0%",Григорян С..42,55%
"Витрати на активацію, грн",0,0,0,Григорян С..42,0
Коефіцієнт перемінних витрат на 1 грн додатково проданої продукції,"0,15","0,15","0,15",Григорян С..42,"0,15"
"Оплата кондитеру за одиницю продукції додаткових акційних продаж, грн","2,5","2,5",2,Григорян С..42,"0,8"
Зростання ТО акційного ТО у співвідношенні до еталонного без коєф сезоності,"3,09","2,82","1,94",Григорян С..42,"2,50"
,,,,Григорян С..42,
Резульати,,,,Григорян С..42,
"Продажі в акційний період, шт план",5 977,5 374,542,Григорян С..42,455
"Продажі в акційний період, грн план",806 935,570 865,90 537,Григорян С..42,17 621
"Дохід еталоний період, грн план",144 674,116 096,21 934,Григорян С..42,2 960
Дохід акційний період без урахування додаткових витрат план,375 225,304 556,34 857,Григорян С..42,6 696
,,,,Григорян С..42,
Додаткові витрати на грн ТО план,81 869,55 265,6 580,Григорян С..42,1 586
Додаткові витрати ЗП кондитера план,11 316,9 861,665,Григорян С..42,233
,93 185,65 126,7 246,Григорян С..42,1 819
"PL, грн план",137 366,123 334,5 677,Григорян С..42,1 917
"PL, % план","17,02%","21,60%","6,27%",Григорян С..42,"10,88%"
"Дата акції від дати завантаження до дати закінчення, план",06.07-16.07.25,06.07-16.07.25,06.07-16.07.25,Григорян С..43,29.08-18.09.25
Мережа,Варус,Варус,Варус,Григорян С..43,Експансія
Продукція,"торт Пінчер з вишнею (0,8кг) ОПТ","торт Наполеон (1,0 кг) ОПТ ","торт Червоний оксамит (0,5 кг) ",Григорян С..43,"Десерт Червоний оксамит (0,100 кг)"
Еталонний місяць,Травень,Травень,Травень,Григорян С..43,Березень
Акційний місяць,Липень,Липень,Липень,Григорян С..43,Вересень
Коефіцієнт сезонності,"0,9","0,9","0,9",Григорян С..43,"0,76"
"Продажі в еталоний період, грн",290 160,224 927,51 854,Григорян С..43,3 780
"Продажі в еталоний період, шт",1612,1588,233,Григорян С..43,140
"Маржа еталоний період, %","68,90%","70,00%","68,50%",Григорян С..43,"58,76%"
"Відсоток акційної знижки, %",25%,25%,25%,Григорян С..43,10%
"Бонус, %","11,50%","11,65%","11,50%",Григорян С..43,14%
"Повернення без акції, %",2%,1%,10%,Григорян С..43,5%
"Повернення в акцію, %","0,00%","0,00%","2,00%",Григорян С..43,"1,00%"
"Маржа акційний період, %","58,0%","65,0%","52,0%",Григорян С..43,49%
"Витрати на активацію, грн",0,0,0,Григорян С..43,0
Коефіцієнт перемінних витрат на 1 грн додатково проданої продукції,"0,15","0,15","0,15",Григорян С..43,"0,15"
"Оплата кондитеру за одиницю продукції додаткових акційних продаж, грн","2,5","2,5",2,Григорян С..43,"0,5"
Зростання ТО акційного ТО у співвідношенні до еталонного без коєф сезоності,"3,09","2,82","1,94",Григорян С..43,"2,50"
,,,,Григорян С..43,
Резульати,,,,Григорян С..43,
"Продажі в акційний період, шт план",5 977,5 374,542,Григорян С..43,296
"Продажі в акційний період, грн план",806 935,570 865,90 537,Григорян С..43,7 182
"Дохід еталоний період, грн план",144 674,116 096,21 934,Григорян С..43,1 142
Дохід акційний період без урахування додаткових витрат план,375 225,304 556,34 857,Григорян С..43,2 425
,,,,Григорян С..43,
Додаткові витрати на грн ТО план,81 869,55 265,6 580,Григорян С..43,646
Додаткові витрати ЗП кондитера план,11 316,9 861,665,Григорян С..43,95
,93 185,65 126,7 246,Григорян С..43,741
"PL, грн план",137 366,123 334,5 677,Григорян С..43,542
"PL, % план","17,02%","21,60%","6,27%",Григорян С..43,"7,54%"
"Дата акції від дати завантаження до дати закінчення, план",06.07-16.07.25,06.07-16.07.25,06.07-16.07.25,Григорян С..44,29.08-18.09.25
Мережа,Варус,Варус,Варус,Григорян С..44,Експансія
Продукція,"торт Пінчер з вишнею (0,8кг) ОПТ","торт Наполеон (1,0 кг) ОПТ ","торт Червоний оксамит (0,5 кг) ",Григорян С..44,"Десерт Творожний з малиною  (0,100 кг)"
Еталонний місяць,Травень,Травень,Травень,Григорян С..44,Березень
Акційний місяць,Липень,Липень,Липень,Григорян С..44,Вересень
Коефіцієнт сезонності,"0,9","0,9","0,9",Григорян С..44,"0,76"
"Продажі в еталоний період, грн",290 160,224 927,51 854,Григорян С..44,2 997
"Продажі в еталоний період, шт",1612,1588,233,Григорян С..44,111
"Маржа еталоний період, %","68,90%","70,00%","68,50%",Григорян С..44,"56,43%"
"Відсоток акційної знижки, %",25%,25%,25%,Григорян С..44,10%
"Бонус, %","11,50%","11,65%","11,50%",Григорян С..44,14%
"Повернення без акції, %",2%,1%,10%,Григорян С..44,3%
"Повернення в акцію, %","0,00%","0,00%","2,00%",Григорян С..44,"1,00%"
"Маржа акційний період, %","58,0%","65,0%","52,0%",Григорян С..44,46%
"Витрати на активацію, грн",0,0,0,Григорян С..44,0
Коефіцієнт перемінних витрат на 1 грн додатково проданої продукції,"0,15","0,15","0,15",Григорян С..44,"0,15"
"Оплата кондитеру за одиницю продукції додаткових акційних продаж, грн","2,5","2,5",2,Григорян С..44,"0,5"
Зростання ТО акційного ТО у співвідношенні до еталонного без коєф сезоності,"3,09","2,82","1,94",Григорян С..44,"2,50"
,,,,Григорян С..44,
Резульати,,,,Григорян С..44,
"Продажі в акційний період, шт план",5 977,5 374,542,Григорян С..44,234
"Продажі в акційний період, грн план",806 935,570 865,90 537,Григорян С..44,5 694
"Дохід еталоний період, грн план",144 674,116 096,21 934,Григорян С..44,898
Дохід акційний період без урахування додаткових витрат план,375 225,304 556,34 857,Григорян С..44,1 790
,,,,Григорян С..44,
Додаткові витрати на грн ТО план,81 869,55 265,6 580,Григорян С..44,512
Додаткові витрати ЗП кондитера план,11 316,9 861,665,Григорян С..44,75
,93 185,65 126,7 246,Григорян С..44,587
"PL, грн план",137 366,123 334,5 677,Григорян С..44,304
"PL, % план","17,02%","21,60%","6,27%",Григорян С..44,"5,34%"
"Дата акції від дати завантаження до дати закінчення, план",06.07-16.07.25,06.07-16.07.25,06.07-16.07.25,Григорян С..45,29.08-18.09.25
Мережа,Варус,Варус,Варус,Григорян С..45,Експансія
Продукція,"торт Пінчер з вишнею (0,8кг) ОПТ","торт Наполеон (1,0 кг) ОПТ ","торт Червоний оксамит (0,5 кг) ",Григорян С..45,"Десерт Солона карамель (0,100 кг)"
Еталонний місяць,Травень,Травень,Травень,Григорян С..45,Березень
Акційний місяць,Липень,Липень,Липень,Григорян С..45,Вересень
Коефіцієнт сезонності,"0,9","0,9","0,9",Григорян С..45,"0,76"
"Продажі в еталоний період, грн",290 160,224 927,51 854,Григорян С..45,2 754
"Продажі в еталоний період, шт",1612,1588,233,Григорян С..45,102
"Маржа еталоний період, %","68,90%","70,00%","68,50%",Григорян С..45,"53,00%"
"Відсоток акційної знижки, %",25%,25%,25%,Григорян С..45,10%
"Бонус, %","11,50%","11,65%","11,50%",Григорян С..45,14%
"Повернення без акції, %",2%,1%,10%,Григорян С..45,5%
"Повернення в акцію, %","0,00%","0,00%","2,00%",Григорян С..45,"2,00%"
"Маржа акційний період, %","58,0%","65,0%","52,0%",Григорян С..45,43%
"Витрати на активацію, грн",0,0,0,Григорян С..45,0
Коефіцієнт перемінних витрат на 1 грн додатково проданої продукції,"0,15","0,15","0,15",Григорян С..45,"0,15"
"Оплата кондитеру за одиницю продукції додаткових акційних продаж, грн","2,5","2,5",2,Григорян С..45,"0,5"
Зростання ТО акційного ТО у співвідношенні до еталонного без коєф сезоності,"3,09","2,82","1,94",Григорян С..45,"2,50"
,,,,Григорян С..45,
Резульати,,,,Григорян С..45,
"Продажі в акційний період, шт план",5 977,5 374,542,Григорян С..45,215
"Продажі в акційний період, грн план",806 935,570 865,90 537,Григорян С..45,5 233
"Дохід еталоний період, грн план",144 674,116 096,21 934,Григорян С..45,712
Дохід акційний період без урахування додаткових витрат план,375 225,304 556,34 857,Григорян С..45,1 413
,,,,Григорян С..45,
Додаткові витрати на грн ТО план,81 869,55 265,6 580,Григорян С..45,471
Додаткові витрати ЗП кондитера план,11 316,9 861,665,Григорян С..45,69
,93 185,65 126,7 246,Григорян С..45,540
"PL, грн план",137 366,123 334,5 677,Григорян С..45,161
"PL, % план","17,02%","21,60%","6,27%",Григорян С..45,"3,08%"
"Дата акції від дати завантаження до дати закінчення, план",06.07-16.07.25,06.07-16.07.25,06.07-16.07.25,Григорян С..46,12.09-02.10.25
Мережа,Варус,Варус,Варус,Григорян С..46,Експансія
Продукція,"торт Пінчер з вишнею (0,8кг) ОПТ","торт Наполеон (1,0 кг) ОПТ ","торт Червоний оксамит (0,5 кг) ",Григорян С..46,"торт Червоний Бархат (1,0 кг) ОПТ"
Еталонний місяць,Травень,Травень,Травень,Григорян С..46,Квітень
Акційний місяць,Липень,Липень,Липень,Григорян С..46,Вересень
Коефіцієнт сезонності,"0,9","0,9","0,9",Григорян С..46,"1,25"
"Продажі в еталоний період, грн",290 160,224 927,51 854,Григорян С..46,24 642
"Продажі в еталоний період, шт",1612,1588,233,Григорян С..46,94
