"Дата акції від дати завантаження до дати закінчення, план | Мережа | Продукція | Еталонний місяць","06.07-16.07.25 | Варус | торт Пінчер з вишнею (0,8кг) ОПТ | Травень","06.07-16.07.25 | Варус | торт Наполеон (1,0 кг) ОПТ  | Травень","06.07-16.07.25 | Варус | торт Червоний оксамит (0,5 кг)  | Травень",Мануилова А..3 | Мануилова А..3 | Мануилова А..3 | Мануилова А..3,"06.07-16.07.25 | Варус | торт Фісташка з лохиною (0,5 кг)  | Травень"
"Оплата кондитеру за одиницю продукції додаткових акційних продаж, грн","2,5","2,5",2,Мануилова А..5,"0,5"
Зростання ТО акційного ТО у співвідношенні до еталонного без коєф сезоності,"3,09","2,82","1,94",Мануилова А..5,"1,50"
,,,,Мануилова А..5,
Резульати,,,,Мануилова А..5,
"Продажі в акційний період, шт план",5 977,5 374,542,Мануилова А..5,3 675
"Продажі в акційний період, грн план",806 935,570 865,90 537,Мануилова А..5,73 697
"Дохід еталоний період, грн план",144 674,116 096,21 934,Мануилова А..5,13 511
Дохід акційний період без урахування додаткових витрат план,375 225,304 556,34 857,Мануилова А..5,25 425
,,,,Мануилова А..5,
Додаткові витрати на грн ТО план,81 869,55 265,6 580,Мануилова А..5,3 685
Додаткові витрати ЗП кондитера план,11 316,9 861,665,Мануилова А..5,796
,93 185,65 126,7 246,Мануилова А..5,4 481
"PL, грн план",137 366,123 334,5 677,Мануилова А..5,7 433
"PL, % план","17,02%","21,60%","6,27%",Мануилова А..5,"10,09%"
"Дата акції від дати завантаження до дати закінчення, план",06.07-16.07.25,06.07-16.07.25,06.07-16.07.25,Мануилова А..6,13.07-23.07.25
Мережа,Варус,Варус,Варус,Мануилова А..6,Варус
Продукція,"торт Пінчер з вишнею (0,8кг) ОПТ","торт Наполеон (1,0 кг) ОПТ ","торт Червоний оксамит (0,5 кг) ",Мануилова А..6,"Десерт Творожний з малиною  (0,100 кг)"
Еталонний місяць,Травень,Травень,Травень,Мануилова А..6,Травень
Акційний місяць,Липень,Липень,Липень,Мануилова А..6,Липень
Коефіцієнт сезонності,"0,9","0,9","0,9",Мануилова А..6,"0,9"
"Продажі в еталоний період, грн",290 160,224 927,51 854,Мануилова А..6,62 904
"Продажі в еталоний період, шт",1612,1588,233,Мануилова А..6,2636
"Маржа еталоний період, %","68,90%","70,00%","68,50%",Мануилова А..6,"55,00%"
"Відсоток акційної знижки, %",25%,25%,25%,Мануилова А..6,15%
"Бонус, %","11,50%","11,65%","11,50%",Мануилова А..6,"0,115"
"Повернення без акції, %",2%,1%,10%,Мануилова А..6,12%
"Повернення в акцію, %","0,00%","0,00%","2,00%",Мануилова А..6,"2,00%"
"Маржа акційний період, %","58,0%","65,0%","52,0%",Мануилова А..6,"49,0%"
"Витрати на активацію, грн",0,0,0,Мануилова А..6,0
Коефіцієнт перемінних витрат на 1 грн додатково проданої продукції,"0,15","0,15","0,15",Мануилова А..6,"0,15"
"Оплата кондитеру за одиницю продукції додаткових акційних продаж, грн","2,5","2,5",2,Мануилова А..6,"0,5"
Зростання ТО акційного ТО у співвідношенні до еталонного без коєф сезоності,"3,09","2,82","1,94",Мануилова А..6,"1,40"
,,,,Мануилова А..6,
Резульати,,,,Мануилова А..6,
"Продажі в акційний період, шт план",5 977,5 374,542,Мануилова А..6,3 907
"Продажі в акційний період, грн план",806 935,570 865,90 537,Мануилова А..6,79 259
"Дохід еталоний період, грн план",144 674,116 096,21 934,Мануилова А..6,17 833
Дохід акційний період без урахування додаткових витрат план,375 225,304 556,34 857,Мануилова А..6,28 137
,,,,Мануилова А..6,
Додаткові витрати на грн ТО план,81 869,55 265,6 580,Мануилова А..6,3 397
Додаткові витрати ЗП кондитера план,11 316,9 861,665,Мануилова А..6,768
,93 185,65 126,7 246,Мануилова А..6,4 164
"PL, грн план",137 366,123 334,5 677,Мануилова А..6,6 139
"PL, % план","17,02%","21,60%","6,27%",Мануилова А..6,"7,75%"
"Дата акції від дати завантаження до дати закінчення, план",06.07-16.07.25,06.07-16.07.25,06.07-16.07.25,Мануилова А..7,13.07-23.07.25
Мережа,Варус,Варус,Варус,Мануилова А..7,Варус
Продукція,"торт Пінчер з вишнею (0,8кг) ОПТ","торт Наполеон (1,0 кг) ОПТ ","торт Червоний оксамит (0,5 кг) ",Мануилова А..7,"Десерт Фисташка (0,100 кг)"
Еталонний місяць,Травень,Травень,Травень,Мануилова А..7,Травень
Акційний місяць,Липень,Липень,Липень,Мануилова А..7,Липень
Коефіцієнт сезонності,"0,9","0,9","0,9",Мануилова А..7,"0,9"
"Продажі в еталоний період, грн",290 160,224 927,51 854,Мануилова А..7,52 592
"Продажі в еталоний період, шт",1612,1588,233,Мануилова А..7,2210
"Маржа еталоний період, %","68,90%","70,00%","68,50%",Мануилова А..7,"57,00%"
"Відсоток акційної знижки, %",25%,25%,25%,Мануилова А..7,15%
"Бонус, %","11,50%","11,65%","11,50%",Мануилова А..7,"0,115"
"Повернення без акції, %",2%,1%,10%,Мануилова А..7,15%
"Повернення в акцію, %","0,00%","0,00%","2,00%",Мануилова А..7,"3,00%"
"Маржа акційний період, %","58,0%","65,0%","52,0%",Мануилова А..7,"53,0%"
"Витрати на активацію, грн",0,0,0,Мануилова А..7,0
Коефіцієнт перемінних витрат на 1 грн додатково проданої продукції,"0,15","0,15","0,15",Мануилова А..7,"0,15"
"Оплата кондитеру за одиницю продукції додаткових акційних продаж, грн","2,5","2,5",2,Мануилова А..7,"0,5"
Зростання ТО акційного ТО у співвідношенні до еталонного без коєф сезоності,"3,09","2,82","1,94",Мануилова А..7,"1,63"
,,,,Мануилова А..7,
Резульати,,,,Мануилова А..7,
"Продажі в акційний період, шт план",5 977,5 374,542,Мануилова А..7,3 814
"Продажі в акційний період, грн план",806 935,570 865,90 537,Мануилова А..7,77 152
"Дохід еталоний період, грн план",144 674,116 096,21 934,Мануилова А..7,14 437
Дохід акційний період без урахування додаткових витрат план,375 225,304 556,34 857,Мануилова А..7,29 704
,,,,Мануилова А..7,
Додаткові витрати на грн ТО план,81 869,55 265,6 580,Мануилова А..7,4 473
Додаткові витрати ЗП кондитера план,11 316,9 861,665,Мануилова А..7,913
,93 185,65 126,7 246,Мануилова А..7,5 386
"PL, грн план",137 366,123 334,5 677,Мануилова А..7,9 882
"PL, % план","17,02%","21,60%","6,27%",Мануилова А..7,"12,81%"
"Дата акції від дати завантаження до дати закінчення, план",06.07-16.07.25,06.07-16.07.25,06.07-16.07.25,Мануилова А..8,13.07-23.07.25
Мережа,Варус,Варус,Варус,Мануилова А..8,Варус
Продукція,"торт Пінчер з вишнею (0,8кг) ОПТ","торт Наполеон (1,0 кг) ОПТ ","торт Червоний оксамит (0,5 кг) ",Мануилова А..8,"Десерт Червоний оксамит (0,100 кг)"
Еталонний місяць,Травень,Травень,Травень,Мануилова А..8,Травень
Акційний місяць,Липень,Липень,Липень,Мануилова А..8,Липень
Коефіцієнт сезонності,"0,9","0,9","0,9",Мануилова А..8,"0,9"
"Продажі в еталоний період, грн",290 160,224 927,51 854,Мануилова А..8,66 410
"Продажі в еталоний період, шт",1612,1588,233,Мануилова А..8,2810
"Маржа еталоний період, %","68,90%","70,00%","68,50%",Мануилова А..8,"57,00%"
"Відсоток акційної знижки, %",25%,25%,25%,Мануилова А..8,15%
"Бонус, %","11,50%","11,65%","11,50%",Мануилова А..8,"0,115"
"Повернення без акції, %",2%,1%,10%,Мануилова А..8,8%
"Повернення в акцію, %","0,00%","0,00%","2,00%",Мануилова А..8,"2,00%"
"Маржа акційний період, %","58,0%","65,0%","52,0%",Мануилова А..8,"53,0%"
"Витрати на активацію, грн",0,0,0,Мануилова А..8,0
Коефіцієнт перемінних витрат на 1 грн додатково проданої продукції,"0,15","0,15","0,15",Мануилова А..8,"0,15"
"Оплата кондитеру за одиницю продукції додаткових акційних продаж, грн","2,5","2,5",2,Мануилова А..8,"0,5"
Зростання ТО акційного ТО у співвідношенні до еталонного без коєф сезоності,"3,09","2,82","1,94",Мануилова А..8,"1,60"
,,,,Мануилова А..8,
Резульати,,,,Мануилова А..8,
"Продажі в акційний період, шт план",5 977,5 374,542,Мануилова А..8,4 760
"Продажі в акційний період, грн план",806 935,570 865,90 537,Мануилова А..8,95 630
"Дохід еталоний період, грн план",144 674,116 096,21 934,Мануилова А..8,22 413
Дохід акційний період без урахування додаткових витрат план,375 225,304 556,34 857,Мануилова А..8,37 774
,,,,Мануилова А..8,
Додаткові витрати на грн ТО план,81 869,55 265,6 580,Мануилова А..8,5 379
Додаткові витрати ЗП кондитера план,11 316,9 861,665,Мануилова А..8,1 116
,93 185,65 126,7 246,Мануилова А..8,6 495
"PL, грн план",137 366,123 334,5 677,Мануилова А..8,8 866
"PL, % план","17,02%","21,60%","6,27%",Мануилова А..8,"9,27%"
"Дата акції від дати завантаження до дати закінчення, план",06.07-16.07.25,06.07-16.07.25,06.07-16.07.25,Мануилова А..9,20.07-30.07.25
Мережа,Варус,Варус,Варус,Мануилова А..9,Варус
Продукція,"торт Пінчер з вишнею (0,8кг) ОПТ","торт Наполеон (1,0 кг) ОПТ ","торт Червоний оксамит (0,5 кг) ",Мануилова А..9,Тістечко Горішки зі сгущеним молоком 1 шт Флоу Пак  БОКС
Еталонний місяць,Травень,Травень,Травень,Мануилова А..9,Травень
Акційний місяць,Липень,Липень,Липень,Мануилова А..9,Липень
Коефіцієнт сезонності,"0,9","0,9","0,9",Мануилова А..9,"0,9"
"Продажі в еталоний період, грн",290 160,224 927,51 854,Мануилова А..9,23 703
"Продажі в еталоний період, шт",1612,1588,233,Мануилова А..9,133
"Маржа еталоний період, %","68,90%","70,00%","68,50%",Мануилова А..9,"67,00%"
"Відсоток акційної знижки, %",25%,25%,25%,Мануилова А..9,15%
"Бонус, %","11,50%","11,65%","11,50%",Мануилова А..9,12%
"Повернення без акції, %",2%,1%,10%,Мануилова А..9,0%
"Повернення в акцію, %","0,00%","0,00%","2,00%",Мануилова А..9,0%
"Маржа акційний період, %","58,0%","65,0%","52,0%",Мануилова А..9,60%
"Витрати на активацію, грн",0,0,0,Мануилова А..9,0
Коефіцієнт перемінних витрат на 1 грн додатково проданої продукції,"0,15","0,15","0,15",Мануилова А..9,"0,15"
"Оплата кондитеру за одиницю продукції додаткових акційних продаж, грн","2,5","2,5",2,Мануилова А..9,"5,4"
Зростання ТО акційного ТО у співвідношенні до еталонного без коєф сезоності,"3,09","2,82","1,94",Мануилова А..9,"1,9"
,,,,Мануилова А..9,
Резульати,,,,Мануилова А..9,
"Продажі в акційний період, шт план",5 977,5 374,542,Мануилова А..9,268
"Продажі в акційний період, грн план",806 935,570 865,90 537,Мануилова А..9,40 532
"Дохід еталоний період, грн план",144 674,116 096,21 934,Мануилова А..9,11 840
Дохід акційний період без урахування додаткових витрат план,375 225,304 556,34 857,Мануилова А..9,19 658
,,,,Мануилова А..9,
Додаткові витрати на грн ТО план,81 869,55 265,6 580,Мануилова А..9,2 880
